"Age","Tx","Gender"
"0",7991684,"Female"
"1",7892158,"Female"
"2",7792681,"Female"
"3",7693229,"Female"
"4",7593795,"Female"
"5",7494379,"Female"
"6",7394975,"Female"
"7",7295583,"Female"
"8",7196206,"Female"
"9",7096844,"Female"
"10",6997493,"Female"
"11",6898154,"Female"
"12",6798825,"Female"
"13",6699509,"Female"
"14",6600210,"Female"
"15",6500931,"Female"
"16",6401675,"Female"
"17",6302441,"Female"
"18",6203230,"Female"
"19",6104047,"Female"
"20",6004890,"Female"
"21",5905758,"Female"
"22",5806650,"Female"
"23",5707567,"Female"
"24",5608509,"Female"
"25",5509479,"Female"
"26",5410474,"Female"
"27",5311494,"Female"
"28",5212542,"Female"
"29",5113621,"Female"
"30",5014736,"Female"
"31",4915890,"Female"
"32",4817085,"Female"
"33",4718325,"Female"
"34",4619611,"Female"
"35",4520946,"Female"
"36",4422339,"Female"
"37",4323798,"Female"
"38",4225322,"Female"
"39",4126920,"Female"
"40",4028610,"Female"
"41",3930402,"Female"
"42",3832310,"Female"
"43",3734343,"Female"
"44",3636509,"Female"
"45",3538823,"Female"
"46",3441306,"Female"
"47",3343983,"Female"
"48",3246872,"Female"
"49",3150000,"Female"
"50",3053397,"Female"
"51",2957090,"Female"
"52",2861118,"Female"
"53",2765512,"Female"
"54",2670297,"Female"
"55",2575509,"Female"
"56",2481183,"Female"
"57",2387359,"Female"
"58",2294086,"Female"
"59",2201407,"Female"
"60",2109364,"Female"
"61",2018012,"Female"
"62",1927414,"Female"
"63",1837624,"Female"
"64",1748682,"Female"
"65",1660624,"Female"
"66",1573514,"Female"
"67",1487411,"Female"
"68",1402360,"Female"
"69",1318423,"Female"
"70",1235686,"Female"
"71",1154262,"Female"
"72",1074258,"Female"
"73",995781,"Female"
"74",918966,"Female"
"75",844006,"Female"
"76",771103,"Female"
"77",700453,"Female"
"78",632253,"Female"
"79",566743,"Female"
"80",504184,"Female"
"81",444819,"Female"
"82",388880,"Female"
"83",336605,"Female"
"84",288228,"Female"
"85",243909,"Female"
"86",203797,"Female"
"87",168018,"Female"
"88",136515,"Female"
"89",109115,"Female"
"90",85734,"Female"
"91",66093,"Female"
"92",49808,"Female"
"93",36679,"Female"
"94",26378,"Female"
"95",18526,"Female"
"96",12711,"Female"
"97",8485,"Female"
"98",5504,"Female"
"99",3466,"Female"
"100",2117,"Female"
"101",1253,"Female"
"102",718,"Female"
"103",399,"Female"
"104",214,"Female"
"105",112,"Female"
"106",56,"Female"
"107",28,"Female"
"108",13,"Female"
"109",6,"Female"
"110+",3,"Female"
"0",7148455,"Male"
"1",7049023,"Male"
"2",6949644,"Male"
"3",6850296,"Male"
"4",6750968,"Male"
"5",6651653,"Male"
"6",6552355,"Male"
"7",6453075,"Male"
"8",6353808,"Male"
"9",6254557,"Male"
"10",6155321,"Male"
"11",6056101,"Male"
"12",5956894,"Male"
"13",5857703,"Male"
"14",5758528,"Male"
"15",5659376,"Male"
"16",5560260,"Male"
"17",5461185,"Male"
"18",5362166,"Male"
"19",5263229,"Male"
"20",5164392,"Male"
"21",5065664,"Male"
"22",4967048,"Male"
"23",4868542,"Male"
"24",4770149,"Male"
"25",4671862,"Male"
"26",4573679,"Male"
"27",4475604,"Male"
"28",4377640,"Male"
"29",4279786,"Male"
"30",4182046,"Male"
"31",4084434,"Male"
"32",3986966,"Male"
"33",3889647,"Male"
"34",3792486,"Male"
"35",3695496,"Male"
"36",3598700,"Male"
"37",3502106,"Male"
"38",3405725,"Male"
"39",3309588,"Male"
"40",3213730,"Male"
"41",3118176,"Male"
"42",3022961,"Male"
"43",2928126,"Male"
"44",2833684,"Male"
"45",2739657,"Male"
"46",2646101,"Male"
"47",2553060,"Male"
"48",2460595,"Male"
"49",2368772,"Male"
"50",2277634,"Male"
"51",2187252,"Male"
"52",2097703,"Male"
"53",2009038,"Male"
"54",1921334,"Male"
"55",1834668,"Male"
"56",1749106,"Male"
"57",1664725,"Male"
"58",1581620,"Male"
"59",1499894,"Male"
"60",1419613,"Male"
"61",1340848,"Male"
"62",1263685,"Male"
"63",1188201,"Male"
"64",1114498,"Male"
"65",1042626,"Male"
"66",972687,"Male"
"67",904742,"Male"
"68",838801,"Male"
"69",774955,"Male"
"70",713321,"Male"
"71",653995,"Male"
"72",597031,"Male"
"73",542495,"Male"
"74",490461,"Male"
"75",441007,"Male"
"76",394206,"Male"
"77",350097,"Male"
"78",308738,"Male"
"79",270214,"Male"
"80",234558,"Male"
"81",201794,"Male"
"82",171957,"Male"
"83",145032,"Male"
"84",120966,"Male"
"85",99705,"Male"
"86",81129,"Male"
"87",65099,"Male"
"88",51521,"Male"
"89",40175,"Male"
"90",30844,"Male"
"91",23272,"Male"
"92",17157,"Male"
"93",12359,"Male"
"94",8714,"Male"
"95",6041,"Male"
"96",4124,"Male"
"97",2752,"Male"
"98",1794,"Male"
"99",1142,"Male"
"100",709,"Male"
"101",429,"Male"
"102",253,"Male"
"103",146,"Male"
"104",82,"Male"
"105",45,"Male"
"106",24,"Male"
"107",12,"Male"
"108",6,"Male"
"109",3,"Male"
"110+",2,"Male"
