Candy, Upvotes, Downvotes
Kit Kat, 2162, 502
Reese's Peanut Butter Cups, 2239, 684
Twix, 1961, 621
Snickers, 1708, 667
Reese's Peanut Butter Pumpkins, 1569, 706
Starburst, 1364, 764
M&M's, 1418, 454
Butterfinger, 1327, 828
Sour Patch Kids, 1319, 749
Skittles, 1311, 744
Gummy bear, 1147, 803
Reese's Pieces, 1124, 563
Nestlé Crunch, 1073, 606
Hershey bar, 1131, 378
Jolly Rancher, 1013, 797
Nerds, 956, 663
Milk Duds, 939, 783
Milky Way, 973, 610
Spooky Nerds, 906, 826
Twizzlers, 859, 843
3 Musketeers, 860, 511
Hershey's Kisses, 922, 446
Swedish Fish, 785, 779
Peppermint Patty, 886, 702
Tootsie Rolls, 765, 670
Baby Ruth, 699, 677
Laffy Taffy, 765, 598
SweeTarts, 688, 705
Charms Blow Pop, 739, 618
Candy Corn, 792, 952
Caramel Apple Pops, 646, 589
Nestle Crunch Pumpkins, 655, 665
Mike and Ikes, 537, 627
Fun Dip, 732, 438
Airheads Extreme, 608, 510
100 Grand Bar, 610, 488
Mounds, 596, 688
Cadburry Screme Eggs, 586, 721
Krackel, 530, 421
Mr. Goodbar, 436, 328
Milky Way Caramel Apple, 476, 766
Heath bar, 393, 365
Dots, 455, 731
Jelly bean, 369, 623
Godiva Pumpkin Spice Caramels, 298, 832
Pumpkin Spice Hershey Kiss, 298, 822
