"";"y";"x";"category";"text"
"1";1;1;"Herbata";"45L herbaty"
"2";2;1;"Herbata";"45L herbaty"
"3";3;1;"Herbata";"45L herbaty"
"4";4;1;"Herbata";"45L herbaty"
"5";5;1;"Herbata";"45L herbaty"
"6";6;1;"Herbata";"45L herbaty"
"7";7;1;"Herbata";"45L herbaty"
"8";8;1;"Herbata";"45L herbaty"
"9";9;1;"Herbata";"45L herbaty"
"10";10;1;"Herbata";"45L herbaty"
"11";1;2;"Herbata";"45L herbaty"
"12";2;2;"Herbata";"45L herbaty"
"13";3;2;"Herbata";"45L herbaty"
"14";4;2;"Herbata";"45L herbaty"
"15";5;2;"Herbata";"45L herbaty"
"16";6;2;"Herbata";"45L herbaty"
"17";7;2;"Herbata";"45L herbaty"
"18";8;2;"Herbata";"45L herbaty"
"19";9;2;"Herbata";"45L herbaty"
"20";10;2;"Herbata";"45L herbaty"
"21";1;3;"Herbata";"45L herbaty"
"22";2;3;"Herbata";"45L herbaty"
"23";3;3;"Herbata";"45L herbaty"
"24";4;3;"Herbata";"45L herbaty"
"25";5;3;"Herbata";"45L herbaty"
"26";6;3;"Herbata";"45L herbaty"
"27";7;3;"Herbata";"45L herbaty"
"28";8;3;"Herbata";"45L herbaty"
"29";9;3;"Herbata";"45L herbaty"
"30";10;3;"Herbata";"45L herbaty"
"31";1;4;"Herbata";"45L herbaty"
"32";2;4;"Herbata";"45L herbaty"
"33";3;4;"Herbata";"45L herbaty"
"34";4;4;"Herbata";"45L herbaty"
"35";5;4;"Herbata";"45L herbaty"
"36";6;4;"Herbata";"45L herbaty"
"37";7;4;"Herbata";"45L herbaty"
"38";8;4;"Herbata";"45L herbaty"
"39";9;4;"Herbata";"45L herbaty"
"40";10;4;"Herbata";"45L herbaty"
"41";1;5;"Herbata";"45L herbaty"
"42";2;5;"Herbata";"45L herbaty"
"43";3;5;"Herbata";"45L herbaty"
"44";4;5;"Herbata";"45L herbaty"
"45";5;5;"Herbata";"45L herbaty"
"46";6;5;"Herbata";"45L herbaty"
"47";7;5;"Herbata";"45L herbaty"
"48";8;5;"Herbata";"45L herbaty"
"49";9;5;"Herbata";"45L herbaty"
"50";10;5;"Herbata";"45L herbaty"
"51";1;6;"Herbata";"45L herbaty"
"52";2;6;"Herbata";"45L herbaty"
"53";3;6;"Herbata";"45L herbaty"
"54";4;6;"Herbata";"45L herbaty"
"55";5;6;"Herbata";"45L herbaty"
"56";6;6;"Herbata";"45L herbaty"
"57";7;6;"Herbata";"45L herbaty"
"58";8;6;"Herbata";"45L herbaty"
"59";9;6;"Herbata";"45L herbaty"
"60";10;6;"Herbata";"45L herbaty"
"61";1;7;"Herbata";"45L herbaty"
"62";2;7;"Herbata";"45L herbaty"
"63";3;7;"Herbata";"45L herbaty"
"64";4;7;"Woda";"19L wody"
"65";5;7;"Woda";"19L wody"
"66";6;7;"Woda";"19L wody"
"67";7;7;"Woda";"19L wody"
"68";8;7;"Woda";"19L wody"
"69";9;7;"Woda";"19L wody"
"70";10;7;"Woda";"19L wody"
"71";1;8;"Woda";"19L wody"
"72";2;8;"Woda";"19L wody"
"73";3;8;"Woda";"19L wody"
"74";4;8;"Woda";"19L wody"
"75";5;8;"Woda";"19L wody"
"76";6;8;"Woda";"19L wody"
"77";7;8;"Woda";"19L wody"
"78";8;8;"Woda";"19L wody"
"79";9;8;"Woda";"19L wody"
"80";10;8;"Woda";"19L wody"
"81";1;9;"Woda";"19L wody"
"82";2;9;"Woda";"19L wody"
"83";3;9;"Woda";"19L wody"
"84";4;9;"Woda";"19L wody"
"85";5;9;"Woda";"19L wody"
"86";6;9;"Woda";"19L wody"
"87";7;9;"Woda";"19L wody"
"88";8;9;"Woda";"19L wody"
"89";9;9;"Woda";"19L wody"
"90";10;9;"Woda";"19L wody"
"91";1;10;"Kawa";"5,25L kawy"
"92";2;10;"Kawa";"5,25L kawy"
"93";3;10;"Kawa";"5,25L kawy"
"94";4;10;"Kawa";"5,25L kawy"
"95";5;10;"Kawa";"5,25L kawy"
"96";6;10;"Kawa";"5,25L kawy"
"97";7;10;"Kawa";"5,25L kawy"
"98";8;10;"Wino";"1,4L wina"
"99";9;10;"Wino";"1,4L wina"
"100";10;10;"Mocny Alkohol";"360ml trucizny"
