creditor,debtor,amount,risk
IPPT PAN,Politechnika Warszawska,10,1 
None,Politechnika Warszawska,11,1
Universität Wien,University of Lviv,5,0 
PAN,Uniwersytet Warszawski,10,1
Institute of Mathematics PAN,Uniwersytet Warszawski,25,2
University of Lviv,Uniwersytet Warszawski,28,2
UJ,Uniwersytet Warszawski,12,2
Lomonosov,Uniwersytet Warszawski,10,1
Berkeley University,Uniwersytet Warszawski,17,2
Tbilisi State University,Uniwersytet Warszawski,16,2
Lublin University,Uniwersytet Warszawski,5,0
None,Uniwersytet Warszawski,11,1
Uniwersytet im. Adama Mickiewicza w Poznaniu,Uniwersytet Warszawski,5,0
